Review_ID,Movie_Title,Keyword_1,Score_1,Keyword_2,Score_2,Keyword_3,Score_3,Keyword_4,Score_4,Keyword_5,Score_5
5519180,Parasite,average movie perfectly,0.6528,say average movie,0.6503,average movie,0.6465,movie decade good,0.6329,good movie decade,0.6044
5519990,Parasite,genre social issue,0.5348,genre social,0.5115,genre,0.4803,family problem film,0.4737,social issue rapidly,0.4638
9006868,Parasite,act cinematography script,0.5959,masterpiece act cinematography,0.5928,act cinematography,0.5913,key role cinematography,0.5548,role cinematography lot,0.5389
5464771,Parasite,kim family underdogs,0.6573,idea kim family,0.6,sympathy kim instead,0.5788,idea kim,0.5717,sympathy kim,0.5499
5558930,Parasite,joonhos genre film,0.6175,acutebong joonhos genre,0.5512,joonhos genre,0.5474,joonho prove genre,0.5355,genre film,0.5142
5968755,Parasite,film like parasite,0.7105,parasite time favorite,0.5663,favorite film bong,0.5486,time favorite film,0.5375,movie great make,0.5129
5490408,Parasite,light comedy really,0.5433,good picture oscar,0.5425,picture oscar,0.5368,movie develop bit,0.5303,light comedy,0.5228
5525434,Parasite,good film oscar,0.5788,absurd good film,0.5602,film oscar,0.5318,powerful educational message,0.4735,oscar,0.4616
5877800,Parasite,artistic sense cinematography,0.5318,genius screenplay plotline,0.4983,screenplay plotline accompany,0.4891,insidethe genius screenplay,0.4887,screenplay plotline,0.4875
5098391,Parasite,little gem storyline,0.5833,korean little gem,0.5815,gem storyline,0.5594,storyline simply amazing,0.5511,gem storyline simply,0.5463
5620712,Parasite,oscar ceremony expect,0.5913,film late oscar,0.5849,film plot good,0.5809,middle film plot,0.5798,film plot,0.5512
5411736,Parasite,entertaining enthral movie,0.6696,year pacing film,0.6101,movie year pacing,0.5824,enthral movie year,0.5714,pacing film,0.5503
5433291,Parasite,emotion watch movie,0.5909,movie good movie,0.5387,movie watch january,0.5313,actor story plot,0.5292,make movie insanely,0.5169
8674413,Parasite,high praise movie,0.6754,praise movie receive,0.6726,praise movie,0.6585,movie receive film,0.5165,film start good,0.4927
6385885,Parasite,twist incredible film,0.6689,incredible film love,0.6428,film amazing little,0.6199,film love watch,0.6073,film love,0.6062
7573166,Parasite,masterpiece character development,0.6214,character act music,0.6092,line masterpiece character,0.6045,story line masterpiece,0.5787,writen camera angel,0.5705
5496998,Parasite,talk film parasite,0.6387,film parasite,0.5784,film parasite kind,0.5779,parasite international sensation,0.5374,parasite international,0.5251
5479757,Parasite,violence unwelcomeon oscars,0.6131,oscars award joker,0.585,unwelcomeon oscars,0.5502,oscars,0.5454,film categorize comedythere,0.53
6772747,Parasite,film korean think,0.6816,film korean,0.6783,like film korean,0.6177,cinematography acting,0.5537,film short amazing,0.5533
7598506,Parasite,rating imdb expect,0.5105,rating imdb,0.5066,overall rating imdb,0.5007,korean culture disappointing,0.4731,endinghmm work korean,0.4619
5811761,Parasite,movie hard categorize,0.6973,categorize category opinion,0.6075,category opinion,0.5978,opinion think movie,0.5864,category opinion think,0.5808
5466157,Parasite,parasite masterpiece unpredictable,0.6191,parasite masterpiece,0.5993,masterpiece unpredictable film,0.5651,performance bong joonhos,0.5588,joonhos direction incredible,0.5297
5400281,Parasite,happen movie end,0.5778,movie end,0.5705,movie end happy,0.5325,movie end hurry,0.5214,different ending maybe,0.5157
5475773,Parasite,metaphor force obvious,0.5788,metaphor glaringly obvious,0.5531,hype like metaphor,0.552,metaphor force,0.5361,metaphor,0.5225
7455592,Parasite,movie traumatize stop,0.7342,movie traumatize,0.654,second half film,0.6175,traumatize stop hour,0.6133,half film bad,0.5547
5636877,Parasite,movie watch movie,0.643,fir movie watch,0.6235,paracite suitable title,0.6141,title fir movie,0.6132,watch movie,0.5794
5489234,Parasite,good foreign film,0.665,foreign film say,0.6207,foreign film,0.611,like korean film,0.5947,film say good,0.5536
5534594,Parasite,pinpoint great movie,0.8132,hard pinpoint great,0.7225,pinpoint great,0.6686,great movie watch,0.653,hard pinpoint,0.6492
8343717,Parasite,watch parasite,0.4851,watch parasite time,0.4541,parasitize gullible spoiled,0.4527,time watch parasite,0.451,question parasite,0.4488
5231818,Parasite,emotional rollercoaster everybody,0.5578,right emotional rollercoaster,0.554,emotional rollercoaster,0.5381,perfect movie,0.533,perfect movie way,0.5256
5204711,Parasite,movie jojo rabbit,0.6349,jojo rabbit movie,0.6234,movie expect,0.6094,brilliant movie jojo,0.593,movie expect love,0.5836
5850696,Parasite,behavior kim family,0.5501,kim family main,0.5356,kim family,0.5077,kim family excuse,0.5066,right kim family,0.4931
5507171,Parasite,movie stellar review,0.5612,crowd pie joker,0.5251,pie joker limelight,0.5193,joker limelight,0.5058,movie stellar,0.503
9424838,Parasite,categorization bong joonhos,0.4034,joonhos directorial brilliance,0.3891,parasite stand cinematic,0.382,portrayal patriarch kim,0.3769,contemporary cinema korean,0.3728
5605791,Parasite,rich poor actor,0.7795,poor actor worth,0.7422,actor worth film,0.7359,film social class,0.6607,poor actor,0.6432
5579011,Parasite,love change film,0.6127,film spoil parasite,0.5725,vulnerable family fantastic,0.5447,change film spoil,0.5299,film spoil,0.5131
5644782,Parasite,unfair review movie,0.5582,minute watch film,0.5525,movie watch minute,0.5523,revealing movie class,0.5268,watch film,0.5114
5411660,Parasite,korean film film,0.6793,korean film,0.6655,live expectation movie,0.6515,film live expectation,0.6404,expectation movie,0.56
7426632,Parasite,feel rush film,0.7187,rush film generally,0.7065,rush film,0.6641,end feel rush,0.6259,film return watch,0.5591
5347852,Parasite,movie year good,0.6369,good movie year,0.6132,movie good month,0.5967,movie year,0.5816,know movie good,0.5725
5510482,Parasite,movie south korean,0.5493,oscar search hindi,0.5351,korean need subtitle,0.5198,movie oscar search,0.5145,trailer interested movie,0.5093
5293690,Parasite,korean cinema twisted,0.5177,family way worm,0.4914,good korean film,0.4831,cinema twisted amoral,0.4721,cinema twisted,0.4678
5532134,Parasite,watch suspense performance,0.6129,cinematography story stop,0.584,stop watch suspense,0.5836,cinematography story,0.5746,watch suspense,0.5606
6967991,Parasite,asian movie decade,0.5716,good asian movie,0.5633,movie parasite audience,0.5573,asian movie,0.5394,audience feeling plot,0.5233
7929899,Parasite,lot korean drama,0.6406,korean drama,0.602,originality theme societal,0.5732,korean drama yetthe,0.531,award movie impressed,0.5156
7782703,Parasite,unemployed family,0.5045,unemployed family rude,0.4827,labor migration civil,0.4294,unemployed,0.4174,outwardly comedic absurdity,0.4109
5255606,Parasite,movie classic stereotype,0.5452,movie edge,0.4963,define movie edge,0.4617,movie edge seat,0.4536,bad movie classic,0.4287
5596019,Parasite,maybe miss wonder,0.5617,miss wonder character,0.5548,sympathy character,0.5246,emotion sympathy character,0.4961,wonder character,0.4905
5346582,Parasite,movie way remind,0.5522,think know movie,0.5176,remind sweenie todd,0.5086,todd family watch,0.4998,sweenie todd family,0.495
5459997,Parasite,direct bong joonho,0.551,bong joonho film,0.5443,expect bong joonho,0.5198,park myunghoon jung,0.5083,bong joonho,0.5012
6365581,Parasite,movie recent year,0.512,good movie recent,0.509,la land,0.4831,la la land,0.469,good movie,0.448
5486452,Parasite,leave theater worthy,0.7888,long leave theater,0.7432,theater worthy award,0.7388,leave theater,0.7297,theater worthy,0.6374
5487554,Parasite,watch subtitle movie,0.7485,watch subtitle,0.7292,normally watch subtitle,0.7204,subtitle movie review,0.7161,watch miss subtitle,0.701
10110497,Parasite,wealthy korean family,0.5529,wealthy korean,0.5455,rich korean,0.5408,life kim family,0.5367,rich korean mention,0.5231
5511523,Parasite,trailer suicide squad,0.6768,trailer ruin movie,0.6543,say trailer ruin,0.6233,realize trailer ruin,0.6027,trailer suicide,0.6017
5482918,Parasite,certainly rsyedbit oscar,0.6578,rsyedbit oscar,0.5922,oscar list personally,0.5677,hilarious sure oscar,0.5599,rsyedbit oscar list,0.5457
8489402,Parasite,preaching end movie,0.5754,brilliant half character,0.5352,end movie great,0.5238,overthetop dramatic plot,0.4907,development half incredible,0.4898
5354888,Parasite,masterpiece lot view,0.5683,watch great cinematography,0.5528,cinematography love,0.5397,asian film definitely,0.5185,film definitely stand,0.5003
5476459,Parasite,movie opinion subjective,0.5691,movie opinion,0.5676,styling brilliant movie,0.5474,know movie opinion,0.5462,movie garbage convince,0.53
7728607,Parasite,heart lose movie,0.666,suspense horror movie,0.5731,suspense horror,0.5655,lose movie,0.5638,viewer suspense horror,0.5334
5460041,Parasite,list good movie,0.5738,film definitely list,0.5426,masterpiece like dark,0.5022,miss film definitely,0.4915,memory pure art,0.4893
5455361,Parasite,movie make impact,0.6252,specific movie genre,0.606,movie genre mix,0.5997,movie balance genre,0.5988,movie genre,0.5941
7612569,Parasite,film play moral,0.618,film time tired,0.5739,watch film time,0.5478,recommend movie,0.5146,play moral simultaneously,0.5037
5741937,Parasite,twist turn actor,0.5766,korean film understand,0.5409,korean film,0.5279,turn actor really,0.5123,pattern korean film,0.5095
5512282,Parasite,letdown fall hype,0.7032,prepare big letdown,0.6845,hype onelong slow,0.641,big letdown fall,0.6041,fall hype onelong,0.5893
5493438,Parasite,dark dramedy surprise,0.5236,surprise hit academy,0.4961,dark dramedy,0.4772,dramedy surprise hit,0.4673,academy award storm,0.464
5642246,Parasite,awesome film spectator,0.5486,korean society work,0.4937,want end movie,0.4883,peek complex korean,0.482,complex korean society,0.4723
5107601,Parasite,idea korean film,0.7291,korean film good,0.7286,korean film,0.6658,main idea korean,0.6257,idea korean,0.5531
5602263,Parasite,impressive plot jin,0.5304,plot jin jiyu,0.5137,plot jin,0.5082,frightened surprise stair,0.4854,dark basement,0.4806
5551522,Parasite,watch movie good,0.7603,movie understand good,0.7318,movie good movie,0.7269,good movie understand,0.6909,movie good,0.6792
5219988,Parasite,iswonderfully shoot cinematographer,0.4581,talk good film,0.4566,film parasite view,0.4393,think film great,0.4305,shoot cinematographer,0.4256
5072221,Parasite,comedy natural plot,0.5848,dark comedy natural,0.5776,dark comedy,0.5695,comedy,0.5081,comedy natural,0.4747
5689690,Parasite,difference class society,0.6222,movie difference class,0.6021,class society behavior,0.5848,class society,0.5788,people society class,0.5723
7130024,Parasite,masterpiece consider oscar,0.6169,movie paper masterpiece,0.6147,masterpiece oscar,0.5745,masterpiece oscar plain,0.5471,hail masterpiece oscar,0.5334
8096869,Parasite,social commentary rich,0.5565,provoke social commentary,0.5242,society change movie,0.5112,social commentary,0.4948,issue society instigate,0.4866
6363424,Parasite,write movie great,0.6471,write movie,0.6403,movie great camerawork,0.5372,movie bad wish,0.4981,problem movie bad,0.4937
10188291,Parasite,movie mediocre good,0.6594,movie mediocre,0.6402,rarely disappointed film,0.623,film pretentious like,0.6091,noteworthythe film pretentious,0.6009
5583317,Parasite,international film award,0.6011,good international film,0.5619,film award,0.538,script directing brilliant,0.5248,international film,0.508
5470163,Parasite,make movie,0.4795,film stylishly direct,0.4693,make movie work,0.4608,way make movie,0.4604,film korea,0.45
5495410,Parasite,doubt great film,0.6352,film strong plot,0.6288,award film definitely,0.5822,great film strong,0.563,watch humor suspense,0.5543
6816256,Parasite,pure perfection cinema,0.478,cinema min masterfully,0.4746,perfection cinema min,0.4546,perfection cinema,0.443,cinema,0.4263
5489526,Parasite,oscar nominate movie,0.6309,nominate movie,0.6061,nominate movie violence,0.5862,oscar nominate,0.5381,oscar,0.5276
5497198,Parasite,cinematic drama hour,0.7973,depth cinematic drama,0.7683,depth cinematic,0.6639,pure depth cinematic,0.6606,movie hold pure,0.623
7408298,Parasite,ago think daily,0.6858,movie year ago,0.6709,movie year,0.6109,think daily,0.6046,year ago think,0.5345
6152565,Parasite,hate film plot,0.7146,hate film,0.6474,hate plot like,0.5801,hate plot,0.5447,movie rich,0.5429
5230108,Parasite,real parasite society,0.6309,parasite society rich,0.6246,parasite society,0.622,parasite bong joonho,0.5665,work real parasite,0.56
5524923,Parasite,story maybe korean,0.6476,highly rate story,0.6282,weak ordinary story,0.6246,rate story weak,0.6194,story weak ordinary,0.5793
6645653,Parasite,smell metaphor make,0.5274,smell metaphor,0.5154,tell smell questionablealthough,0.5027,lowlihead smell metaphor,0.4936,live sense smell,0.4558
5423420,Parasite,wanna mast,0.659,lve wanna mast,0.6292,mast,0.6064,good movie lve,0.58,good movie,0.56
5741018,Parasite,film depict opposite,0.477,class direct hatred,0.4737,poor strong conflict,0.4582,class family,0.4476,conflict representative class,0.4445
10214860,Parasite,misfortune movie watch,0.6006,misfortune movie,0.5489,movie watch movie,0.5286,miseenscenei like story,0.5112,movie line unfit,0.5073
5599703,Parasite,watch director gwoemul,0.7051,director gwoemul good,0.6821,gwoemul good movie,0.6713,like movie gwoemul,0.6442,director gwoemul,0.6194
6985581,Parasite,original dark comedy,0.595,dark comedy class,0.5615,dark comedy,0.5465,really good movie,0.4832,st century remake,0.4809
5390528,Parasite,film good,0.5983,film clear criticism,0.564,film good photographic,0.5471,film,0.5035,movie shoplifter realistic,0.4831
6643243,Parasite,subtitle english movie,0.7976,english movie,0.6647,follow subtitle english,0.6489,subtitle english,0.6261,need follow subtitle,0.6016
6385367,Parasite,film explore relationship,0.6812,film year decade,0.6342,good film year,0.5809,film explore,0.58,feel good film,0.5552
5306236,Parasite,good movie respect,1.0,movie respect,0.9057,respect,0.6768,good movie,0.6322,movie,0.4738
5725691,Parasite,wrong good movie,0.558,portfolioagain good movie,0.5008,expect thriller like,0.4932,know expect thriller,0.488,expect thriller,0.4838
7151378,Parasite,cinematography point storyline,0.7007,movie watch cinematography,0.6466,watch cinematography point,0.6388,message embed film,0.6368,cinematography point,0.6118
6110966,Parasite,inside picture movie,0.6179,movie great job,0.5909,picture movie great,0.582,picture movie,0.5655,amazing movie like,0.5524
9203477,Parasite,park household,0.4068,inside park household,0.4029,householdit like,0.3883,mansion park family,0.3851,park household kim,0.3754
5480043,Parasite,movie really boring,0.6999,boring second half,0.5708,like conclusion oscar,0.5407,half movie really,0.5171,really boring second,0.5071
5598432,Parasite,brilliant screenplay strory,0.8131,screenplay strory,0.7181,screenplay strory telling,0.712,brilliant screenplay,0.671,actor act brilliant,0.612
9300226,Parasite,watch parasite,0.637,haved watch parasite,0.6218,need watch parasite,0.6114,enjoyable movie fast,0.61,watch parasite write,0.6079
5978228,Parasite,film amazing work,0.5811,portray especially admirable,0.5783,dramatic art acting,0.5626,film amazing,0.5581,work dramatic art,0.5423
5074267,Parasite,parasite absolutely fantastic,0.5707,good movie film,0.536,korean cinema,0.5203,film milestone korean,0.5163,buzz good movie,0.5003
7073406,Parasite,film popular topic,0.5455,cinema day feel,0.5411,perform original film,0.5407,film worldwide success,0.5354,repetitive cinema day,0.5318
5390291,Parasite,parasite good movie,0.8073,world parasite good,0.6662,parasite end world,0.6539,parasite good,0.6345,end world parasite,0.6304
5592405,Parasite,tamil movie parasite,0.7191,parasite deserve oscar,0.6971,movie parasite director,0.6723,parasite director sue,0.6513,movie parasite,0.6422
6116072,Parasite,servant rich people,0.4278,servant poor,0.4181,servant poor weak,0.415,example poor people,0.4116,servant rich,0.4076
5227349,Parasite,act story drag,0.4943,solid screenplay storyit,0.4584,story drag watch,0.4552,slow burn,0.4479,slow burn grip,0.4376
5618575,Parasite,korean cinema,0.5726,downton abbey upstairsdownstair,0.5608,theme korean cinema,0.5389,parasite wealthy korean,0.5239,abbey upstairsdownstair,0.5237
5975456,Parasite,illusion korea japan,0.5806,illusion korea,0.5499,perspective illusion korea,0.5489,nip flick shoplifter,0.5488,flick shoplifter,0.4893
5968852,Parasite,film exist korean,0.7252,director kim family,0.6238,exist korean amazing,0.6223,fun director kim,0.5839,korean amazing,0.5731
5174158,Parasite,screenplay soooo good,0.6824,screenplay soooo,0.5975,screenplay,0.5484,quality movie unrealgreat,0.5456,favorite director work,0.519
5557117,Parasite,movie symbolic mean,0.6354,admire korean movie,0.6104,korean movie decade,0.5931,korean movie,0.59,movie symbolic,0.5769
5457776,Parasite,action nervous film,0.5663,nervous film come,0.5663,movie class difference,0.5593,film come close,0.5475,nervous film,0.54
5561918,Parasite,driver stupid story,0.5339,grate movie owner,0.5258,think grate movie,0.5069,totally believe driver,0.499,believe driver final,0.4912
5484906,Parasite,time deserve oscar,0.7139,deserve oscar,0.6518,movie time deserve,0.6349,racist stay pressed,0.5915,oscar,0.5866
6543497,Parasite,movie overrate character,0.5413,think movie overrate,0.5038,richthe acting mediocre,0.4938,opportunity richalthough movie,0.4931,movie overrate,0.4635
5638335,Parasite,high rating film,0.6322,rating film understand,0.6069,rating film,0.5587,language make realistic,0.5396,film understand award,0.5357
8298844,Parasite,masterpiece movie shocking,0.6293,movie shocking thrilling,0.597,masterpiece movie,0.572,oscar long time,0.5713,perfect deserve oscar,0.5658
5505430,Parasite,film kevin,0.4154,room sad kevin,0.4073,kevin sister,0.4059,kiwoo kevin sister,0.4,kevin really think,0.3934
5631441,Parasite,movie like parasite,0.5979,parasite illustrate kims,0.5754,parasitic beauty film,0.5374,poor parasitic beauty,0.5156,parasitic beauty,0.5117
9443462,Parasite,watch foreign film,0.5754,foreign film,0.5154,foreign film purely,0.5145,refuse watch foreign,0.477,onscreen portrayal economic,0.4586
5473242,Parasite,cinephile normal moviegoer,0.7052,normal moviegoer bongjoonhos,0.6567,parasite genredefying film,0.6205,moviegoer bongjoonhos,0.6101,genredefying film,0.593
6436856,Parasite,inclination film amazing,0.5774,cinematography right beginning,0.5415,film amazing cinematography,0.5275,watch masterpiece straight,0.508,year watch masterpiece,0.5003
5097623,Parasite,comedy thriller offer,0.4869,black comedy thriller,0.484,modern south korea,0.48,comedy thriller,0.4694,bright storyteller generation,0.4671
5495042,Parasite,reality movie message,0.6856,feelgood movie,0.6278,movie message grasp,0.6227,feelgood movie cold,0.6055,message really perspective,0.5909
6326481,Parasite,engage wonder plot,0.5769,surprise twisting plot,0.5757,film engage wonder,0.5537,hell film engage,0.5372,parasite hell film,0.5371
10051041,Parasite,parasite mustsee film,0.528,parasite comedy mystery,0.5205,parasite film,0.5159,parasite comedy,0.5067,make parasite fascinating,0.5057
6362437,Parasite,boring cinematography,0.6482,boring cinematography exquisite,0.6415,certainly boring cinematography,0.6267,half influence tarantino,0.5121,parasite certainly boring,0.512
5826038,Parasite,cinematic needle parasite,0.6262,negligence cinematography amazing,0.5617,class push cinematic,0.5426,brilliant film progress,0.5423,cinematic needle,0.5344
5216474,Parasite,movie production great,0.573,good movie production,0.5497,critic capitalism sharp,0.5344,audio cut story,0.5274,movie production,0.5077
5428173,Parasite,korean film rarity,0.5543,foreign film tend,0.5467,resourcefulparasite korean film,0.5386,come foreign film,0.53,korean film watch,0.5142
5484418,Parasite,watch joker,0.6277,wayafter watch joker,0.6068,watch joker think,0.5854,joker think film,0.5707,watch entire film,0.506
6518812,Parasite,novel cinematography,0.5283,deliver novel cinematography,0.5072,nominate award agree,0.4909,character unique film,0.4867,cinematography,0.4856
8005791,Parasite,income inequality korea,0.4121,film income inequality,0.4017,korea suspect film,0.3773,park know wealthy,0.3722,filmthe idea parasite,0.3721
5432223,Parasite,korean film contrast,0.7305,film contrast family,0.6804,film contrast,0.6331,korean film,0.6204,south korean film,0.6061
5446784,Parasite,movie desire poor,0.718,desire poor country,0.6572,poor country world,0.6271,poor country,0.5549,act make film,0.5545
6126517,Parasite,korean movie music,0.6197,korean movie,0.5741,oscari wow concept,0.5154,director showcase,0.4928,movie music watch,0.4909
5749062,Parasite,fantasy beautiful reality,0.669,cold desire family,0.6308,desire family,0.5747,beautiful reality cold,0.5735,family glamorous outside,0.5534
6798885,Parasite,cinematography bong joon,0.6951,film beautiful addictive,0.6566,plot gorgeous cinematography,0.6475,view film beautiful,0.5936,modern masterpiece revisit,0.5888
5266253,Parasite,entertainment good overrated,0.514,say film good,0.4914,talk good overrated,0.4482,oscar craze felt,0.4359,oscar craze,0.4169
5518784,Parasite,film life masterpiece,0.8033,good film life,0.697,life masterpiece,0.6822,film life,0.6158,good film,0.55
5563832,Parasite,recommend movie,0.5587,good film really,0.4977,gisaengchung really good,0.4967,really good film,0.4904,movie atmosphere plot,0.4875
5629512,Parasite,movie deserve awesomeawesomeawesome,0.8174,deserve awesomeawesomeawesome film,0.7758,movie awesome understand,0.774,movie awesome,0.6942,awesomeawesomeawesome film watch,0.6808
6559856,Parasite,successful genretwisting,0.5074,achieve successful genretwisting,0.4951,movie direction lifetimefantastic,0.4899,director cabinet,0.4442,director cabinet cripple,0.4336
7372291,Parasite,movie drop comedy,0.6758,movie ditch comedic,0.608,drop comedy,0.5935,comedy start thriller,0.5914,drop comedy start,0.5817
5472291,Parasite,prosperous park family,0.5206,park family employee,0.4963,park family occupant,0.4905,park family,0.477,tutor daughter park,0.4634
5431403,Parasite,accompany beautiful cinematography,0.6252,melody fine cinema,0.6122,film deserve praise,0.5537,beautiful cinematography,0.5448,beautiful cinematography score,0.5417
5234068,Parasite,filmmake parasite fit,0.6425,hos filmmake parasite,0.6127,filmmake parasite,0.5881,joon hos filmmake,0.5646,hos filmmake,0.5065
5596206,Parasite,expect ending nature,0.69,expect ending,0.6067,ending nature,0.6042,ending nature humankind,0.599,movie ending unexpected,0.574
5510692,Parasite,turn film excessive,0.4984,summarize movie depth,0.4841,perfectly summarize movie,0.4724,summarize movie,0.4691,portray film mainly,0.4661
5479723,Parasite,tape wear scary,0.6561,wear scary movie,0.5914,scary movie scary,0.5661,movie scary,0.5655,movie scary think,0.5571
5652012,Parasite,mood audience applaud,0.6226,audience mood,0.6166,audience mood audience,0.597,mood audience,0.5921,arouse audience mood,0.5863
5517466,Parasite,low class family,0.4702,upper class family,0.4657,home upper class,0.4488,class family dad,0.4422,focus family dad,0.4395
5577332,Parasite,film love,0.5735,film love title,0.5594,lot film love,0.5279,film allegorical,0.5195,depend situationpart film,0.5145
5266571,Parasite,language oscar enjoyable,0.7764,foreign language oscar,0.7164,language oscar,0.6903,oscar enjoyable,0.6478,oscar enjoyable fun,0.6265
5474005,Parasite,mesmerise mixed overwhelming,0.7086,overwhelming feeling hour,0.6689,watch mesmerise,0.6673,watch mesmerise mixed,0.6619,mesmerise,0.5867
5064379,Parasite,foreign language film,0.7345,language film,0.6606,language film long,0.6361,film act beautifully,0.5219,film long time,0.4902
5513942,Parasite,word watch movie,0.7358,movie word perfect,0.7351,movie word,0.6702,really movie word,0.6353,lose word watch,0.6312
5483179,Parasite,love movie try,0.7914,really love movie,0.6504,love movie,0.6419,movie try,0.6002,movie,0.4042
5692112,Parasite,movie people korean,0.6017,watch korean movie,0.5578,korean movie edgy,0.5509,people korean moviesouth,0.5493,korean movie watch,0.5282
5564335,Parasite,rate average movie,0.819,movie rate average,0.8181,movie rate,0.7556,average movie,0.7352,average movie know,0.7185
